theartist,Tags2461,song_title,song_link,Desc2112
Lady Gaga,"band ,,,e””,,,xp,,erimental ,disco”” instrumental’’",Afterglow,https://www.youtube.com/results?search_query=Lady+Gaga+Afterglow,Afterglow is an energetic band experimental disco instrumental track by Lady Gaga that explores unique themes and sounds.
Billie Eilish,instrumental disco,Breathing Easy,https://www.youtube.com/results?search_query=Billie+Eilish+Breathing+Easy,Breathing Easy is an energetic instrumental disco track by Billie Eilish that explores unique themes and sounds.
Lana Del Rey,band folk,Forever Young,https://www.youtube.com/results?search_query=Lana+Del+Rey+Forever+Young,Forever Young is an energetic band folk track by Lana Del Rey that explores unique themes and sounds.
Dua Lipa,big room country lo-fi festival mainstream,Freefall,https://www.youtube.com/results?search_query=Dua+Lipa+Freefall,Freefall is an energetic big room country lo-fi festival mainstream track by Dua Lipa that explores unique themes and sounds.
Arctic Monkeys,synth R&B,Daylight,https://www.youtube.com/results?search_query=Arctic+Monkeys+Daylight,Daylight is an energetic synth R&B track by Arctic Monkeys that explores unique themes and sounds.
Lana Del Rey,vocals jazz solo,Red Moon,https://www.youtube.com/results?search_query=Lana+Del+Rey+Red+Moon,Red Moon is an energetic vocals jazz solo track by Lana Del Rey that explores unique themes and sounds.
Skrillex,folk instrumental disco trap,Daylight,https://www.youtube.com/results?search_query=Skrillex+Daylight,Daylight is an energetic folk instrumental disco trap track by Skrillex that explores unique themes and sounds.
MGMT,duo classical trap edm,Never Fade,https://www.youtube.com/results?search_query=MGMT+Never+Fade,Never Fade is an energetic duo classical trap edm track by MGMT that explores unique themes and sounds.
David Bowie,rock alternative band,Signal Flair,https://www.youtube.com/results?search_query=David+Bowie+Signal+Flair,Signal Flair is an energetic rock alternative band track by David Bowie that explores unique themes and sounds.
Zedd,electronic metal garage techno,Signal Flair,https://www.youtube.com/results?search_query=Zedd+Signal+Flair,Signal Flair is an energetic electronic metal garage techno track by Zedd that explores unique themes and sounds.
Kaytranada,rap folk,Retro Future,https://www.youtube.com/results?search_query=Kaytranada+Retro+Future,Retro Future is an energetic rap folk track by Kaytranada that explores unique themes and sounds.
The Weeknd,electronic alternative indie country punk,Eclipse,https://www.youtube.com/results?search_query=The+Weeknd+Eclipse,Eclipse is an energetic electronic alternative indie country punk track by The Weeknd that explores unique themes and sounds.
Bruno Mars,jazz lo-fi solo,Electric Dream,https://www.youtube.com/results?search_query=Bruno+Mars+Electric+Dream,Electric Dream is an energetic jazz lo-fi solo track by Bruno Mars that explores unique themes and sounds.
Phoenix,dubstep metal synth new wave,Retro Future,https://www.youtube.com/results?search_query=Phoenix+Retro+Future,Retro Future is an energetic dubstep metal synth new wave track by Phoenix that explores unique themes and sounds.
Kaytranada,pop electronic funk,Afterglow,https://www.youtube.com/results?search_query=Kaytranada+Afterglow,Afterglow is an energetic pop electronic funk track by Kaytranada that explores unique themes and sounds.
Beyoncé,hip-hop punk composer,Retro Future,https://www.youtube.com/results?search_query=Beyoncé+Retro+Future,Retro Future is an energetic hip-hop punk composer track by Beyoncé that explores unique themes and sounds.
Billie Eilish,trap electronic,Ocean Eyes,https://www.youtube.com/results?search_query=Billie+Eilish+Ocean+Eyes,Ocean Eyes is an energetic trap electronic track by Billie Eilish that explores unique themes and sounds.
Arctic Monkeys,garage vocals,Golden Hour,https://www.youtube.com/results?search_query=Arctic+Monkeys+Golden+Hour,Golden Hour is an energetic garage vocals track by Arctic Monkeys that explores unique themes and sounds.
Imagine Dragons,lo-fi dubstep,Sunrise Boulevard,https://www.youtube.com/results?search_query=Imagine+Dragons+Sunrise+Boulevard,Sunrise Boulevard is an energetic lo-fi dubstep track by Imagine Dragons that explores unique themes and sounds.
Eric Prydz,vocals mainstream garage legend synth,Velvet Roads,https://www.youtube.com/results?search_query=Eric+Prydz+Velvet+Roads,Velvet Roads is an energetic vocals mainstream garage legend synth track by Eric Prydz that explores unique themes and sounds.
Fleetwood Mac,alternative dance funk lo-fi composer,Heartbeats,https://www.youtube.com/results?search_query=Fleetwood+Mac+Heartbeats,Heartbeats is an energetic alternative dance funk lo-fi composer track by Fleetwood Mac that explores unique themes and sounds.
Justin Bieber,jazz hip-hop R&B rap,Ocean Eyes,https://www.youtube.com/results?search_query=Justin+Bieber+Ocean+Eyes,Ocean Eyes is an energetic jazz hip-hop R&B rap track by Justin Bieber that explores unique themes and sounds.